time,position
0.011187030999963099,-4585
0.03234770799997477,-4530
0.05241651000000047,-4426
0.06824484399999164,-4297
0.08332427099998085,-4186
0.09840286499996864,-4049
0.1138541669999995,-3900
0.12888557299999093,-3741
0.14441473899995572,-3595
0.1594680729999709,-3421
0.17456760400000348,-3269
0.1896192190000079,-3120
0.20512390599998298,-2960
0.220189634999997,-2808
0.23526703099997803,-2674
0.25030583299997033,-2548
0.26578338499996335,-2435
0.2808279169999537,-2337
0.29600203100000044,-2253
0.31109770799997705,-2178
0.32613114599996607,-2124
0.3415527079999947,-2086
0.3566985939999654,-2065
0.3717230209999798,-2057
0.38678291599995873,-2056
0.4018716139999583,-2056
0.41693156200000203,-2056
0.43195249999996577,-2056
0.4470668749999618,-2056
0.46211531199998035,-2056
0.47719583299999613,-2056
0.49223489599995673,-2056
0.5076898439999695,-2056
0.5232369789999893,-2056
0.5382805730000086,-2056
0.5534372390000044,-2055
0.5685576559999959,-2055
0.5840670309999609,-2055
0.5991335409999579,-2055
0.6142674479999641,-2055
0.6293136979999758,-2055
0.6444428639999842,-2055
0.6595206249999706,-2055
0.6750513019999858,-2055
0.6901196869999922,-2055
0.7052726039999584,-2055
0.7203920309999603,-2055
0.7354918749999797,-2055
0.7505394789999968,-2055
0.7656449479999878,-2055
0.7853215619999787,-2055
0.8053299480000078,-2055
0.8252869789999977,-2054
0.8453104679999797,-2054
0.8652504679999993,-2054
0.8852933329999928,-2054
0.9053384369999549,-2054
0.9252982809999821,-2054
0.945248749999962,-2054
0.9652822389999756,-2054
0.9854876559999752,-2054
1.0055931249999617,-2054
1.024234946999968,-2054
1.0444021349999844,-2054
1.0638276560000008,-2054
1.083971665999968,-2054
1.1040600519999657,-2054
1.1242776560000038,-2054
1.144416769999964,-2054
1.1645432809999647,-2054
1.1832348949999982,-2054
1.2032988539999678,-2054
1.2217580199999816,-2054
1.241913124000007,-2053
1.2604509889999918,-2053
1.2806213540000044,-2053
1.30033505199998,-2053
1.3204241139999908,-2053
1.3405132809999714,-2053
1.3591356239999755,-2053
1.3792589579999799,-2053
1.3978466140000023,-2053
1.4179750519999743,-2053
1.4380960409999943,-2053
1.45826718699999,-2053
1.4783945829999539,-2053
1.4985783849999734,-2053
1.5187629159999574,-2053
1.5388703119999718,-2053
1.5582351559999665,-2053
1.577704998999991,-2053
1.5952607289999605,-2053
1.6137864579999928,-2053
1.6331734890000007,-2053
1.6532671349999646,-2053
1.6733534889999646,-2053
1.6919987489999926,-2054
1.7120954159999542,-2054
1.7306463529999974,-2057
1.749276301000009,-2062
1.7686511449999784,-2068
1.7888405719999696,-2076
1.809034999000005,-2090
1.828592030999971,-2111
1.8488922390000084,-2136
1.8674857279999628,-2168
1.887615936999964,-2199
1.9078928639999617,-2233
1.9281950509999888,-2269
1.948348019999969,-2305
1.9659335409999699,-2346
1.9844688009999913,-2386
2.005529946999957,-2430
2.025886509999964,-2482
2.0461096349999934,-2538
2.0662942699999576,-2593
2.086598748999961,-2651
2.106739998999956,-2710
2.1269642699999736,-2771
2.147240468000007,-2834
2.167457968000008,-2905
2.1876690619999977,-2982
2.207802447000006,-3067
2.2263624469999854,-3154
2.246500572000002,-3235
2.2640490619999696,-3329
2.28415604099996,-3415
2.304512967999983,-3514
2.3246373430000062,-3624
2.3448014049999983,-3722
2.363377291000006,-3832
2.383514998999999,-3943
2.4037026029999993,-4065
2.423176613999999,-4186
2.4416177069999776,-4301
2.4616995299999758,-4418
2.481839008999998,-4482
2.5019339570000056,-4625
2.5205050509999865,-4713
2.5405977589999793,-4881
2.5607981759999916,-4993
2.5802669779999974,-5115
2.599665988999959,-5250
2.6191159359999574,-5353
2.63929843599999,-5501
2.6594394779999675,-5580
2.679573748999985,-5702
2.699089060999995,-5804
2.7185215609999887,-5890
2.738623435999955,-5960
2.7572504159999767,-6038
2.7748158320000016,-6132
2.7953022379999766,-6162
2.8155501549999826,-6284
2.834135519999961,-6342
2.8525738010000055,-6410
2.8727256239999974,-6443
2.892840519999993,-6489
2.913039165999976,-6531
2.9331680199999823,-6593
2.9516134360000024,-6654
2.9717753109999876,-6702
2.991898020000008,-6749
3.0120929679999904,-6782
3.033614999000008,-6804
3.0541555719999565,-6820
3.072720050999976,-6828
3.092087706999962,-6831
3.110593852999955,-6832
3.130729477999978,-6832
3.150931560999993,-6833
3.169500675999984,-6833
3.188912915000003,-6833
3.209054321999986,-6833
3.2276865609999845,-6833
3.24626843599998,-6833
3.266385206999985,-6834
3.28654697799999,-6834
3.3068321860000083,-6833
3.3269998949999717,-6833
3.3471486450000043,-6833
3.3674401029999785,-6833
3.3875566129999584,-6833
3.4061635919999844,-6833
3.426377706999972,-6833
3.44391853999997,-6833
3.4640154150000058,-6833
3.4842755720000014,-6833
3.5044021339999745,-6833
3.5245588529999736,-6833
3.544768279999971,-6833
3.562208383999973,-6833
3.5822981239999763,-6833
3.6024078629999963,-6833
3.619949947000009,-6833
3.639275414999986,-6833
3.657866143999968,-6833
3.677960675999998,-6833
3.6955483840000056,-6833
3.7130685399999948,-6833
3.731580987999962,-6833
3.751752185999976,-6833
3.7718565089999743,-6833
3.7912490609999736,-6833
3.8114319779999732,-6833
3.8300473420000003,-6833
3.849455884000008,-6833
3.8689668729999767,-6833
3.888457133999964,-6833
3.908566195999981,-6833
3.928814633999991,-6833
3.948259216999986,-6833
3.9683926550000024,-6833
3.9885442689999877,-6833
4.008675258999972,-6833
4.027293487999998,-6833
4.047437706999972,-6833
4.067594321000001,-6833
4.087767237999969,-6833
4.107929112999955,-6833
